,Region_name,Observed_indoor_richness,Observed_naturalized_richness,Projected_naturalized_richness_indoor_current,Projected_naturalized_richness_indoor_2C,Projected_naturalized_richness_indoor_4C,Projected_naturalized_richness_difference_2C,Projected_naturalized_richness_difference_4C,Projected_naturalized_richness_difference_warm_scen,Observed_harmful_indoor_richness,Observed_harmful_naturalized_richness,Projected_harmful_naturalized_richness_indoor_current,Projected_harmful_naturalized_richness_indoor_2C,Projected_harmful_naturalized_richness_indoor_4C,Projected_harmful_naturalized_richness_difference_2C,Projected_harmful_naturalized_richness_difference_4C,Projected_harmful_naturalized_richness_warm_scen,Observed_env_impact_indoor,Observed_env_impact_naturalized,Cumulative_env_SWIS_indoor_current,Cumulative_env_SWIS_indoor_2C,Cumulative_env_SWIS_indoor_4C,Projected_env_SWIS_difference_2C,Projected_env_SWIS_difference_4C,Projected_env_SWIS_difference_warm_scen,Observed_soc_impact_indoor,Observed_soc_impact_naturalized,Cumulative_soc_SWIS_indoor_current,Cumulative_soc_SWIS_indoor_2C,Cumulative_soc_SWIS_indoor_4C,Projected_soc_SWIS_difference_2C,Projected_soc_SWIS_difference_4C,Projected_soc_SWIS_difference_warm_scen
90,Cuba,NA,37,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA
91,Cundinamarca,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
92,Cyprus,NA,8,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
93,Czech Republic,4,NA,0.738888103,0.904462839,1.231338863,0.165574736,0.49245076,0.326876024,3,NA,0.734959882,0.898829774,1.220404854,0.163869892,0.485444972,0.32157508,10,NA,1.09265169,1.433382031,2.279568619,0.340730341,1.18691693,0.846186589,11,NA,2.914075858,3.569591098,4.854990716,0.65551524,1.940914858,1.285399618
94,Delaware,1,2,0.00655413,0.00815615,0.01406929,0.00160202,0.007515161,0.00591314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Zaire,NA,7,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
96,Denmark,14,2,5.987528376,6.44709564,8.007989842,0.459567264,2.020461466,1.560894201,1,1,0.339301752,0.376192887,0.504914202,0.036891135,0.16561245,0.128721316,9,0,3.053715769,3.38573598,4.544227822,0.332020211,1.490512053,1.158491841,3,4,1.017905256,1.12857866,1.514742607,0.110673404,0.496837351,0.386163947
97,District of Columbia,8,5,0.237169919,0.282975104,0.431191766,0.045805185,0.194021846,0.148216661,4,1,0.216275981,0.256221754,0.382692363,0.039945772,0.166416381,0.126470609,19,9,0.968663453,1.151250428,1.732994131,0.182586975,0.764330678,0.581743703,7,6,0.151183382,0.184293804,0.29618061,0.033110423,0.144997229,0.111886806
98,Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,Durango,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
100,Ecuador,NA,17,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
101,Egypt,NA,16,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA
102,El Salvador,NA,8,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA
103,Entre Rios,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Equatorial Guinea,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA
105,Eritrea,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
106,Espirito Santo,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
107,Estonia,4,NA,0.43814891,0.621930219,1.281304693,0.183781309,0.843155783,0.659374474,2,NA,0.238192498,0.337477897,0.713709803,0.099285399,0.475517305,0.376231905,10,NA,1.190962491,1.687389487,3.568549015,0.496426996,2.377586523,1.881159527,5,NA,0.332964784,0.479835702,1.13028346,0.146870918,0.797318676,0.650447758
108,Ethiopia,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
109,Europa Island,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Falkland Islands (Islas Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Fiji,NA,33,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA
113,Finland,5,1,0.57497213,0.852054757,1.623924768,0.277082628,1.048952639,0.771870011,2,1,0.331502129,0.477134789,0.839021073,0.14563266,0.507518944,0.361886284,19,0,4.106358856,5.86086894,9.945719661,1.754510083,5.839360805,4.084850722,11,4,2.567663978,3.657199018,6.150742154,1.08953504,3.583078176,2.493543136
114,Florida,NA,68,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA
115,Formosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,France,25,11,6.618550247,7.459280657,9.232659128,0.84073041,2.614108881,1.773378471,7,5,1.590748838,1.861766076,2.439744211,0.271017238,0.848995373,0.577978135,49,34,9.999340016,11.76402479,15.60219434,1.764684777,5.602854319,3.838169542,20,20,3.547589263,4.203143804,5.671350861,0.655554541,2.123761598,1.468207057
117,French Guiana,NA,15,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA
118,Fujian,1,12,0.056892625,0.070507118,0.108375662,0.013614494,0.051483037,0.037868543,NA,6,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA
119,Gabon,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
120,Gambia,NA,8,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
121,Gansu,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
122,Georgia US,1,28,0.012957528,0.01475963,0.020961693,0.001802103,0.008004165,0.006202063,NA,11,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA
123,Georgia_Europe(country),2,4,0.202007959,0.257525113,0.352522557,0.055517154,0.150514598,0.094997444,NA,2,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
124,Germany,19,9,4.391450438,5.007644536,6.561595845,0.616194099,2.170145408,1.553951309,5,4,1.253864101,1.475868847,1.999424248,0.222004746,0.745560148,0.523555401,28,15,5.410207359,6.46015888,9.137324889,1.049951521,3.72711753,2.677166009,12,8,3.042520494,3.597292805,4.889157749,0.554772311,1.846637255,1.291864944
125,Ghana,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
126,Goias,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
127,Greece,2,11,0.103959346,0.149004981,0.205272398,0.045045635,0.101313052,0.056267417,1,3,0.095057922,0.135471297,0.185318298,0.040413374,0.090260375,0.049847001,9,18,0.855521302,1.21924167,1.667864678,0.363720369,0.812343376,0.448623008,9,10,0.855521302,1.21924167,1.667864678,0.363720369,0.812343376,0.448623008
128,Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,Guainia,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
130,Guanajuato,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA
131,Guangdong,NA,18,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA
132,Guangxi,NA,14,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA
133,Guatemala,NA,8,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
134,Guaviare,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
135,Guerrero,NA,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
136,Guinea,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA
137,Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Guizhou,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
139,Gujarat,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
140,Guyana,NA,9,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
141,Hainan,NA,8,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA
142,Haryana,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Hawaii,NA,60,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA
144,Heard Island & McDonald Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,Hebei,1,NA,0.00055717,0.000748899,0.001540154,0.000191728,0.000982984,0.000791256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Heilongjiang,1,1,2.41E-05,3.80E-05,9.48E-05,1.39E-05,7.07E-05,5.68E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,Henan,1,5,0.028880081,0.037258217,0.064460879,0.008378136,0.035580798,0.027202661,NA,3,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
148,Hidalgo,NA,18,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA
149,Himachal Pradesh,NA,8,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
150,Hokkaido,3,NA,0.380623329,0.504440833,0.824893604,0.123817505,0.444270276,0.320452771,1,NA,0.132792402,0.188032302,0.337816335,0.0552399,0.205023933,0.149784033,0,NA,0,0,0,0,0,0,4,NA,0.531169608,0.752129209,1.35126534,0.220959601,0.820095732,0.599136131
151,Honduras,NA,14,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
152,Hong Kong,NA,18,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA
153,Howland Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Hubei,1,5,0.025852768,0.033708726,0.056051714,0.007855957,0.030198946,0.022342989,NA,3,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA
155,Huila,NA,8,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
156,Hunan,1,9,0.018801994,0.025538999,0.04186914,0.006737004,0.023067146,0.016330142,NA,5,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
157,Hungary,9,2,0.90774869,1.114525887,1.676745007,0.206777198,0.768996318,0.56221912,3,1,0.489462424,0.595533153,0.86615892,0.106070729,0.376696496,0.270625767,9,4,0.955973589,1.132980247,1.601227125,0.177006658,0.645253536,0.468246878,6,0,1.108980158,1.380848509,2.067750009,0.271868351,0.95876985,0.6869015
158,Iceland,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
159,Idaho,2,1,0.163798878,0.217209961,0.334192009,0.053411083,0.170393131,0.116982049,1,NA,0.161753397,0.214171376,0.328265305,0.052417979,0.166511908,0.114093929,14,NA,2.264547559,2.998399264,4.595714264,0.733851705,2.331166705,1.597315,6,NA,0.970520382,1.285028256,1.969591828,0.314507874,0.999071445,0.684563572
160,Illinois,9,2,0.50389301,0.571890697,0.932469309,0.067997687,0.428576299,0.360578612,6,NA,0.464442654,0.525148343,0.841625647,0.060705689,0.377182993,0.316477304,41,NA,3.1897919,3.637360894,6.010245122,0.447568994,2.820453222,2.372884228,26,NA,1.874229728,2.162206464,3.721642715,0.287976735,1.847412986,1.559436251
161,Indiana,4,3,0.315485797,0.364471377,0.561654099,0.04898558,0.246168301,0.197182721,2,1,0.256630085,0.295380714,0.44864091,0.038750629,0.192010826,0.153260197,19,9,2.837674552,3.250356353,4.851353825,0.412681802,2.013679274,1.600997472,11,6,1.455875326,1.673953878,2.532998916,0.218078552,1.07712359,0.859045038
162,Maluku Islands,NA,14,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA
163,Iowa,2,1,0.029358335,0.034412613,0.057663503,0.005054279,0.028305168,0.02325089,1,NA,0.028475064,0.033316014,0.05543227,0.004840951,0.026957206,0.022116255,5,NA,0.142375319,0.166580072,0.277161348,0.024204753,0.134786029,0.110581276,2,NA,0.056950128,0.066632029,0.110864539,0.009681901,0.053914412,0.04423251
164,Iran,NA,19,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
165,Iraq,NA,11,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
166,Ireland,10,NA,5.383309482,5.630810499,6.116946278,0.247501017,0.733636797,0.48613578,5,NA,3.316337507,3.439144004,3.673054698,0.122806497,0.356717191,0.233910693,32,NA,18.69894665,19.59892762,21.35275804,0.899980974,2.65381139,1.753830416,13,NA,8.452902129,8.777832292,9.402176322,0.324930164,0.949274194,0.62434403
167,Israel and Palestine,NA,21,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA
168,Italy,15,8,2.167600238,2.665314592,3.534453838,0.497714354,1.3668536,0.869139246,5,4,0.54800616,0.709729495,0.995779619,0.161723335,0.447773459,0.286050124,38,22,3.814312141,4.97712225,7.063651876,1.162810109,3.249339735,2.086529626,16,10,1.506424432,1.980195792,2.840359112,0.47377136,1.33393468,0.86016332
169,Ivory Coast,NA,8,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
170,Jalisco,NA,20,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA
171,Jamaica,NA,23,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA
172,Jammu & Kashmir,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
173,Jan Mayen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,Java,NA,14,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA
175,Jiangsu,1,4,0.022279861,0.028654832,0.049588325,0.006374971,0.027308464,0.020933494,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
176,Jiangxi,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA
177,Jilin,1,NA,4.23E-05,6.60E-05,0.000159902,2.37E-05,0.000117621,9.39E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,Johnston Atoll,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
179,Jordan,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
180,Jujuy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,Kaliningradskaya oblast,1,NA,0.003961742,0.004982903,0.011270097,0.00102116,0.007308355,0.006287195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,Kansas,2,NA,0.079891342,0.08616718,0.120637295,0.006275837,0.040745953,0.034470116,1,NA,0.076341983,0.082216138,0.114223427,0.005874156,0.037881444,0.032007289,5,NA,0.381709913,0.411080692,0.571117135,0.029370779,0.189407222,0.160036443,2,NA,0.152683965,0.164432277,0.228446854,0.011748311,0.075762889,0.064014577
183,Kanto,4,10,1.144981167,1.276537523,1.579490613,0.131556356,0.434509446,0.30295309,2,5,0.803978613,0.903846988,1.129757608,0.099868375,0.325778995,0.22591062,10,37,4.019893064,4.51923494,5.648788038,0.499341876,1.628894974,1.129553098,5,16,1.30988384,1.526496116,2.075600599,0.216612276,0.765716759,0.549104483
184,Karnataka,NA,11,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
185,Kazakhstan,1,NA,0.000194394,0.000303599,0.000778034,0.000109205,0.00058364,0.000474435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Kentucky,1,2,0.006098276,0.006834622,0.010660563,0.000736345,0.004562287,0.003825941,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
187,Kenya,NA,9,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
188,Kerala,NA,15,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
189,Kinki,2,13,0.265395475,0.310054238,0.425710603,0.044658764,0.160315128,0.115656365,1,5,0.256471619,0.298899222,0.407306882,0.042427603,0.150835263,0.10840766,5,28,1.282358097,1.49449611,2.03653441,0.212138013,0.754176313,0.542038299,5,10,1.282358097,1.49449611,2.03653441,0.212138013,0.754176313,0.542038299
190,Kiribati,NA,21,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA
191,Kuwait,NA,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
192,Kyrgyzstan,1,1,0.000387071,0.000528153,0.001155864,0.000141082,0.000768793,0.000627711,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
193,Kyushu,2,20,0.240815585,0.259242691,0.317543051,0.018427106,0.076727467,0.05830036,NA,6,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
194,La Guajira,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
195,La Pampa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,La Rioja,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
197,Lakshadweep,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
198,Laos,NA,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
199,Latvia,1,NA,0.002132416,0.002944586,0.007882867,0.00081217,0.005750452,0.004938282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,Lebanon,NA,11,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA
201,Lesotho,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
202,Liaoning,1,NA,0.000188828,0.000288206,0.000651879,9.94E-05,0.000463051,0.000363672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,Liberia,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
204,Libya,NA,8,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
205,Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
