,Region_name,Observed_indoor_richness,Observed_naturalized_richness,Projected_naturalized_richness_indoor_current,Projected_naturalized_richness_indoor_2C,Projected_naturalized_richness_indoor_4C,Projected_naturalized_richness_difference_2C,Projected_naturalized_richness_difference_4C,Projected_naturalized_richness_difference_warm_scen,Observed_harmful_indoor_richness,Observed_harmful_naturalized_richness,Projected_harmful_naturalized_richness_indoor_current,Projected_harmful_naturalized_richness_indoor_2C,Projected_harmful_naturalized_richness_indoor_4C,Projected_harmful_naturalized_richness_difference_2C,Projected_harmful_naturalized_richness_difference_4C,Projected_harmful_naturalized_richness_warm_scen,Observed_env_impact_indoor,Observed_env_impact_naturalized,Cumulative_env_SWIS_indoor_current,Cumulative_env_SWIS_indoor_2C,Cumulative_env_SWIS_indoor_4C,Projected_env_SWIS_difference_2C,Projected_env_SWIS_difference_4C,Projected_env_SWIS_difference_warm_scen,Observed_soc_impact_indoor,Observed_soc_impact_naturalized,Cumulative_soc_SWIS_indoor_current,Cumulative_soc_SWIS_indoor_2C,Cumulative_soc_SWIS_indoor_4C,Projected_soc_SWIS_difference_2C,Projected_soc_SWIS_difference_4C,Projected_soc_SWIS_difference_warm_scen
20,Armenia,1,1,0.008092235,0.011269319,0.019498431,0.003177084,0.011406197,0.008229112,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
21,Arunachal Pradesh,NA,9,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
22,Ashmore and Cartier Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Assam,NA,9,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
24,Atlantico,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
25,Austria,11,NA,2.2023849,2.723798534,3.821851603,0.521413634,1.619466703,1.098053069,5,NA,1.251985527,1.516425147,2.04185609,0.26443962,0.789870563,0.525430943,32,NA,6.180041786,7.666265681,10.91677454,1.486223894,4.736732755,3.25050886,15,NA,3.905652685,4.780557062,6.508162048,0.874904378,2.602509363,1.727604985
26,Azerbaijan,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Bahamas,NA,32,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA
28,Bahia,NA,14,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
29,Bahrain,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
30,Baja California,1,6,0.050818972,0.063036649,0.096148422,0.012217677,0.045329449,0.033111773,NA,4,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
31,Baja California Sur,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
