"","Chisq","Df","Pr(>Chisq)"
"temp_pca",39.999,1,0
"mean_temp_pca_native",23.757,1,0
"temp_pca:mean_temp_pca_native",20.208,1,0
"temp_pca1",4.649,1,0.031
"mean_temp_pca_native1",22.437,1,0
"temp_pca:mean_temp_pca_native1",12.227,1,0
"temp_pca2",2.58,1,0.108
"mean_temp_pca_native2",23.5,1,0
"temp_pca:mean_temp_pca_native2",7.827,1,0.005
