"","Final_country","Observed_indoor_richness","Observed_naturalized_richness","Projected_naturalized_richness_indoor_current","Projected_naturalized_richness_indoor_2C","Projected_naturalized_richness_indoor_4C","Projected_naturalized_richness_difference_2C","Projected_naturalized_richness_difference_4C","Projected_naturalized_richness_difference_warm_scen","Observed_harmful_indoor_richness","Observed_harmful_naturalized_richness","Projected_harmful_naturalized_richness_indoor_current","Projected_harmful_naturalized_richness_indoor_2C","Projected_harmful_naturalized_richness_indoor_4C","Projected_harmful_naturalized_richness_difference_2C","Projected_harmful_naturalized_richness_difference_4C","Projected_harmful_naturalized_richness_warm_scen","Observed_env_impact_indoor","Observed_env_impact_naturalized","Cumulative_env_SWIS_indoor_current","Cumulative_env_SWIS_indoor_2C","Cumulative_env_SWIS_indoor_4C","Projected_env_SWIS_difference_2C","Projected_env_SWIS_difference_4C","Projected_env_SWIS_difference_warm_scen","Observed_soc_impact_indoor","Observed_soc_impact_naturalized","Cumulative_soc_SWIS_indoor_current","Cumulative_soc_SWIS_indoor_2C","Cumulative_soc_SWIS_indoor_4C","Projected_soc_SWIS_difference_2C","Projected_soc_SWIS_difference_4C","Projected_soc_SWIS_difference_warm_scen","threat","IAS_list","Existing_mgmt","research","outreach"
"38","Cook Is.",0,26,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,44,0,0,0,0,0,0,NA,NA,NA,NA,NA
"39","Costa Rica",0,26,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,46,0,0,0,0,0,0,1,0.5,0.5,0,0
"40","Cote d'Ivoire",0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0.5,0.5,0,0
"41","Croatia",2,1,0.445607608754303,0.509725859971324,0.626354822555494,0.0641182512170211,0.180747213801191,0.11662896258417,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,1
"42","Cuba",0,37,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,1,1,1,1
"43","Czechia",4,0,0.738888102712988,0.9044628386896,1.23133886308729,0.165574735976612,0.492450760374299,0.326876024397688,3,0,0.734959881937249,0.898829774166521,1.22040485412277,0.163869892229272,0.163869892229272,0,10,0,1.09265168987057,1.43338203090635,2.27956861949854,0.340730341035784,1.18691692962797,0.84618658859219,11,0,2.91407585821751,3.56959109817425,4.8549907161929,0.655515239956742,1.94091485797538,1.28539961801864,1,1,0.5,1,1
"44","Dem. Rep. Korea",2,1,0.161312970434374,0.206883999780067,0.334860265861329,0.0455710293456928,0.173547295426955,0.127976266081262,1,0,0.159866279769253,0.20483629334255,0.33054540883611,0.0449700135732972,0.0449700135732972,0,14,0,2.23812791676954,2.8677081067957,4.62763572370554,0.629580190026162,2.389507806936,1.75992761690984,6,0,0.959197678615516,1.2290177600553,1.98327245301666,0.269820081439783,1.02407477440114,0.754254692961358,NA,NA,NA,NA,NA
"45","Democratic Republic of the Congo",0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0
"46","Denmark",14,2,5.98752837601159,6.44709564036221,8.00798984174291,0.459567264350624,2.02046146573132,1.5608942013807,1,1,0.339301752078309,0.376192886683943,0.504914202395711,0.0368911346056341,0.0368911346056341,0,9,0,3.05371576870478,3.38573598015548,4.5442278215614,0.332020211450707,1.49051205285662,1.15849184140592,3,4,1.01790525623493,1.12857866005183,1.51474260718713,0.110673403816902,0.496837350952207,0.386163947135305,1,0.5,0.5,1,1
"47","Ecuador",0,41,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,53,0,0,0,0,0,0,1,1,1,0,0
"48","Egypt",0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0.5,0,0
"49","El Salvador",0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,1,0.5,1,1
"50","Eq. Guinea",0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,19,0,0,0,0,0,0,NA,NA,NA,NA,NA
"51","Eritrea",0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0.5,0.5,1,0
"52","Estonia",4,0,0.438148909972686,0.621930218936197,1.28130469264067,0.183781308963512,0.843155782667985,0.659374473704474,2,0,0.238192498254595,0.337477897466478,0.713709802953324,0.0992853992118829,0.0992853992118829,0,10,0,1.19096249127297,1.68738948733239,3.56854901476662,0.496426996059414,2.37758652349365,1.88115952743423,5,0,0.332964783985764,0.479835702048646,1.13028346003409,0.146870918062883,0.797318676048329,0.650447757985446,1,1,0.5,0,1
"53","Ethiopia",0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0.5,0.5,0,0
"54","Fiji",0,33,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0.5,0.5,1,0
"55","Finland",5,1,0.574972129527621,0.852054757102401,1.62392476806426,0.277082627574781,1.04895263853664,0.771870010961863,2,1,0.331502128847525,0.477134789023497,0.83902107310961,0.145632660175972,0.145632660175972,0,19,0,4.10635885646169,5.86086893958022,9.94571966148738,1.75451008311853,5.83936080502569,4.08485072190715,11,4,2.56766397831377,3.65719901818468,6.15074215417203,1.08953503987091,3.58307817585826,2.49354313598735,1,1,0,1,1
"56","Fr. Polynesia",0,44,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,67,0,0,0,0,0,0,NA,NA,NA,NA,NA
"57","Fr. S. and Antarctic Lands",0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"58","France",12,61,3.46208860516709,3.81742534302111,4.5803556186546,0.916969772894254,2.75683083769952,1.83986106480527,0,18,0,0,0,0.345980932351699,0.345980932351699,0,0,166,0,0,0,1.76468477677405,5.60285431887699,3.83816954210295,0,87,0,0,0,0.955409318896854,2.68883482331332,1.73342550441647,1,0.5,0.5,1,1
"59","Gabon",0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,24,0,0,0,0,0,0,NA,NA,NA,NA,NA
"60","Gambia",0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"61","Georgia",2,4,0.202007959359133,0.257525113439209,0.35252255702049,0.0555171540800752,0.150514597661356,0.0949974435812811,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0.5,1,0
