"","genus","species","polygon_name","x","y","num","ID","temp_pca","water_pca","temp_pca_2C","temp_pca_4C","water_pca_2C","water_pca_4C","bentity2_name","area","date","last_update","sp.layer","mean_temp_pca_native","mean_water_pca_native","n.indoor","n.outdoor","population","id","x","y"
"90","Acromyrmex","Acromyrmex.octospinosus","Cuba",-79.0312508775182,21.6207503453768,1,90,-2.18920355361011,2.68681076696993,-2.22313570885931,-2.30095105190129,3.23942535437123,2.81636752885278,"Cuba",110220098174.406,1913,2018,"ground",-2.26850069245135,4.11377549864353,3,609,"Cuba_Acromyrmex.octospinosus","Acromyrmex.octospinosus_Cuba",-79.0312508775182,21.6207503453768
"493","Adelomyrmex","Adelomyrmex.myops","Galapagos Islands",-90.8965867078987,-0.553294049115944,1,493,-2.17852144009537,-0.915941718386279,-2.25330062806606,-2.35901324351629,-0.396355064468096,-0.193319341587873,"Galapagos Islands",7801236930.14369,2008,2013,"litter.soil",-2.15442995907342,3.79693558534627,0,378,"Galapagos Islands_Adelomyrmex.myops","Adelomyrmex.myops_Galapagos Islands",-90.8965867078987,-0.553294049115944
"482","Amblyopone","Amblyopone.australis","Caroline Islands",157.665163020553,6.66440411694283,1,482,-2.47823696335157,3.2985790570577,-2.53107394774755,-2.60876183708509,10.7662011384964,11.7234601775805,"Caroline Islands",597801711.024758,NA,-Inf,"ground & litter",-1.71951194351533,-0.190675029695195,0,414,"Caroline Islands_Amblyopone.australis","Amblyopone.australis_Caroline Islands",157.665163020553,6.66440411694283
"272","Amblyopone","Amblyopone.australis","New Zealand",172.645969738183,-41.8343276097385,1,272,-1.25721507556336,1.28991873986745,-1.31792056706145,-1.40544586314808,3.05095401528021,3.1690392599543,"New Zealand",268475548009.337,1887,2015,"ground & litter",-1.71951194351533,-0.190675029695195,68,505,"New Zealand_Amblyopone.australis","Amblyopone.australis_New Zealand",172.645969738183,-41.8343276097385
"27","Anochetus","Anochetus.emarginatus","Bahamas",-76.5671064178707,24.2430773716039,1,27,-2.14039515807659,0.384041664421947,-2.17832657694817,-2.25594728958758,2.53113557228559,2.51724356988186,"Bahamas",12839158625.105,1998,1998,"arboreal",-2.29166890470932,4.33543679540968,2,303,"Bahamas_Anochetus.emarginatus","Anochetus.emarginatus_Bahamas",-76.5671064178707,24.2430773716039
"386","Anochetus","Anochetus.ghilianii","Spain",-3.55293696577648,40.3885101274253,1,386,-1.23040725237941,0.173790960615161,-1.2829809414913,-1.36049610267727,0.025488991149735,-0.134891740029792,"Spain",493663791891.804,1859,2015,"ground & litter",-1.38733444594567,-1.1732312400098,25,340,"Spain_Anochetus.ghilianii","Anochetus.ghilianii_Spain",-3.55293696577648,40.3885101274253
"84","Anochetus","Anochetus.graeffei","Cook Islands",-159.173627313443,-18.8853918419756,1,84,-2.23709389567375,1.38415734469891,-2.27050280570984,-2.33221727609634,5.09846305847168,5.38223540782928,"Cook Islands",230409679.370345,1967,2012,"ground & litter",-1.99125346705638,4.06142655339444,0,138,"Cook Islands_Anochetus.graeffei","Anochetus.graeffei_Cook Islands",-159.173627313443,-18.8853918419756
"363","Anochetus","Anochetus.graeffei","Seychelles",51.4949111477428,-6.94413830800205,1,363,-2.37739227129065,1.50075731815203,-2.44143097297005,-2.529299756755,5.33204947347226,5.51832159705784,"Seychelles",486231920.981334,2012,2012,"ground & litter",-1.99125346705638,4.06142655339444,0,508,"Seychelles_Anochetus.graeffei","Anochetus.graeffei_Seychelles",51.4949111477428,-6.94413830800205
"535","Anochetus","Anochetus.graeffei","Society Islands",-149.909062730952,-17.4381230497134,1,535,-2.22413986023158,1.06902938917892,-2.24763622675856,-2.30884957640138,4.45677635767689,4.34033421620931,"Society Islands",1535763776.23791,1988,2014,"ground & litter",-1.99125346705638,4.06142655339444,0,629,"Society Islands_Anochetus.graeffei","Anochetus.graeffei_Society Islands",-149.909062730952,-17.4381230497134
"379","Anochetus","Anochetus.graeffei","South Africa",25.0927278094241,-29.0003481585414,1,379,-1.47487910575197,-1.00306727506166,-1.55160819261591,-1.67082969952549,0.0203780073945106,-0.0328407685453054,"South Africa",1220325689672.88,2012,2012,"ground & litter",-1.99125346705638,4.06142655339444,2,112,"South Africa_Anochetus.graeffei","Anochetus.graeffei_South Africa",25.0927278094241,-29.0003481585414
"416","Anochetus","Anochetus.graeffei","Tokelau",-171.830236240874,-9.08831034958743,1,416,-2.56721186637878,2.35709881782532,-2.59933686256409,-2.67692685127258,7.91838073730469,8.05093383789062,"Tokelau",20007044.5547716,2006,2014,"ground & litter",-1.99125346705638,4.06142655339444,0,131,"Tokelau_Anochetus.graeffei","Anochetus.graeffei_Tokelau",-171.830236240874,-9.08831034958743
"96","Anochetus","Anochetus.mayri","Denmark",10.0546778967173,55.9588560536395,0,96,-0.905823299364866,0.423799160757101,-0.944338680752335,-1.07028677100182,0.32385713779524,0.557647714197885,"Denmark",42867413656.7614,2018,2018,"ground & litter",-2.13874855243286,3.24871525265491,42,3,"Denmark_Anochetus.mayri","Anochetus.mayri_Denmark",10.0546778967173,55.9588560536395
"114","Anochetus","Anochetus.mayri","Florida",-82.4844428545216,28.6482444271694,1,114,-1.61611228068182,1.89373454194631,-1.65636912367173,-1.73130576912172,2.92294230827684,2.64364238281206,"Florida",147120392371.661,1989,2018,"ground & litter",-2.13874855243286,3.24871525265491,0,7374,"Florida_Anochetus.mayri","Anochetus.mayri_Florida",-82.4844428545216,28.6482444271694
"431","Anochetus","Anochetus.mayri","United Kingdom",-2.89118610361329,54.1507518051866,0,431,-1.15143473086336,0.366926069598419,-1.18423384692243,-1.26441324155807,1.39805330371151,1.70600981189674,"United Kingdom",244186791012.534,1915,1938,"ground & litter",-2.13874855243286,3.24871525265491,345,15,"United Kingdom_Anochetus.mayri","Anochetus.mayri_United Kingdom",-2.89118610361329,54.1507518051866
"139","Anochetus","Anochetus.sedilloti","Gujarat",71.5633067984075,22.6949270582822,1,139,-2.0025746803697,2.85985962604656,-2.10975381131244,-2.26471288244052,5.0136508384638,5.7243778657931,"Gujarat",185487296382.424,1900,2015,"ground & litter",-2.10602560867465,-0.154425180785117,0,16,"Gujarat_Anochetus.sedilloti","Anochetus.sedilloti_Gujarat",71.5633067984075,22.6949270582822
"184","Anochetus","Anochetus.sedilloti","Karnataka",76.1398775069374,14.7054306495484,1,184,-2.21725743261417,3.57254822030146,-2.28832172157415,-2.39375759340797,7.92711668053432,8.0105953700014,"Karnataka",193602121574.891,1900,2015,"ground & litter",-2.10602560867465,-0.154425180785117,0,72,"Karnataka_Anochetus.sedilloti","Anochetus.sedilloti_Karnataka",76.1398775069374,14.7054306495484
