gen,sp,Species.name,strat1,strat2,strat3,strata_classified,description,source
Acromyrmex,coronatus,Acromyrmex.coronatus,arboreal,ground.surface,,arboreal & ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Acromyrmex,lobicornis,Acromyrmex.lobicornis,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Acromyrmex,lundii,Acromyrmex.lundii,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Acromyrmex,octospinosus,Acromyrmex.octospinosus,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Acromyrmex,octospinosus cubanus,Acromyrmex.octospinosus cubanus,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Adelomyrmex,myops,Adelomyrmex.myops,litter.soil,,,litter.soil,Inhabits forest floor litter. Known from Winkler and Berlese samples. Mann (1922) observed small nests beneath stones in Honduras., JT Lognino https://ants.biology.utah.edu/genera/Adelomyrmex/species/myops/myops.html
Amblyopone,australis,Amblyopone.australis,ground.surface,litter.soil,,ground & litter,"A. australis feeds on a range of soft-bodied arthropods and nests in logs above ground (Shattuck, 1999; Wheeler 1933) In the SWBP, WA, nests of A. australis are not uncommon under logs and rocks. ",antwiki
Anochetus,emarginatus,Anochetus.emarginatus,arboreal,,,arboreal,"Anochetus emarginatus is an arboreal or semi-arboreal forager that often nests in hollow branches, epiphytes, or between palm leaf bases well above ground level (Brown 1978).",antwiki
Anochetus,ghilianii,Anochetus.ghilianii,ground.surface,litter.soil,,ground & litter,"nests are found a few centimetres from the surface, present under rocks and leaf litter","Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Anochetus,graeffei,Anochetus.graeffei,ground.surface,litter.soil,,ground & litter,"Nests are generally under rocks or occasionally other objects on the ground but Anochetus graeffei is also known to nest directly in soil without covering, in termite nests and in rotten wood.",antwiki
Anochetus,mayri,Anochetus.mayri,ground.surface,litter.soil,,ground & litter,"it is found mostly in forests under stones, in moss on rocks or logs, in rotten twigs on the forest floor, or in larger bodies of rotten wood",antwiki
Anochetus,sedilloti,Anochetus.sedilloti,ground.surface,litter.soil,,ground & litter,"6 times Winkler, 2 times Hand",antweb
Anonychomyrma,itinerans,Anonychomyrma.itinerans,arboreal,,,arboreal,,"Flanders, B. J., McKillup, S. C., & McKillup, R. V. (2013). Temporal stability of a mosaic of two competitively exclusive arboreal ants in a tropical mangrove forest. Insectes sociaux, 60(2), 173-178."
Anoplolepis,custodiens,Anoplolepis.custodiens,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Anoplolepis,gracilipes,Anoplolepis.gracilipes,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Anoplolepis,steingroeveri gertrudae,Anoplolepis.steingroeveri gertrudae,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,gemella,Aphaenogaster.gemella,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,iberica,Aphaenogaster.iberica,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,longiceps,Aphaenogaster.longiceps,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,ovaticeps ,Aphaenogaster.ovaticeps ,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,senilis,Aphaenogaster.senilis,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,splendida,Aphaenogaster.splendida,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,subterranea,Aphaenogaster.subterranea,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Atta,laevigata,Atta.laevigata,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Azteca,constructor,Azteca.constructor,arboreal,,,arboreal,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Azteca,flavigaster,Azteca.flavigaster,arboreal,,,arboreal,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Brachymyrmex,aphidicola,Brachymyrmex.aphidicola,ground.surface,,,ground,"5 times Fogging, 3 times search, 3 times beating, 3 times direct collection, 1 times bait, 1 times Sweeping, 1 times winkler, 1 times Canopy fogging, 1 times Malaise (antweb). Soil nester (Ortiz-Sepúlveda et al.)","Ortiz-Sepúlveda, C. M.; Van Bocxlaer, B.; Meneses, A. D.; Fernández, F. 2019. Molecular and morphological recognition of species boundaries in the neglected ant genus Brachymyrmex (Hymenoptera: Formicidae): Toward a taxonomic revision. Organisms Diversity & Evolution 19:447-542."
Brachymyrmex,australis,Brachymyrmex.australis,ground.surface,,,ground,"1 times under loose bark, 2 times mit Orchideen, 1 times lebend eingeschleppt mit Orchideen, 1 times in dead wood on ground, 1 times collecting on one of the rock islands offshore, separated from land even at low",antweb
Brachymyrmex,cordemoyi,Brachymyrmex.cordemoyi,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Brachymyrmex,heeri,Brachymyrmex.heeri,arboreal,ground.surface,,arboreal & ground,"Brachymyrmex heeri nests under stones and other objects, often in disturbed areas, as well as in bamboo (Fagundes et al., 2010)",antwiki
Brachymyrmex,minutus,Brachymyrmex.minutus,ground.surface,,,ground,Nests are in leaf litter.,antwiki
Brachymyrmex,obscurior,Brachymyrmex.obscurior,ground.surface,,,ground,"The formicarium is formed under a stone, or at the roots of grass and weeds, generally on open ground ; but if my hasty identifications are correct, the species ranges to the tops of the highest mountains. So far as 1 have observed, the formicarium consists only of one or two simple chambers, with a short connecting passage. The ants are moderately active, less so than allied forms. They are sometimes beaten from foliage.",antwiki
Brachymyrmex,patagonicus,Brachymyrmex.patagonicus,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Brachymyrmex,termitophilus,Brachymyrmex.termitophilus,ground.surface,,,ground,"Some species live in or very close to termite nests (Brachymyrmex fiebrigi, Brachymyrmex modestus, Brachymyrmex myops, Brachymyrmex termitophilus","Ortiz-Sepulveda, C. M., Van Bocxlaer, B., Meneses, A. D., & Fernández, F. (2019). Molecular and morphological recognition of species boundaries in the neglected ant genus Brachymyrmex (Hymenoptera: Formicidae): Toward a taxonomic revision. Organisms Diversity & Evolution, 19(3), 447-542."
Brachyponera,chinensis,Brachyponera.chinensis,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Brachyponera,luteipes,Brachyponera.luteipes,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Brachyponera,obscurans,Brachyponera.obscurans,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Brachyponera,sennaarensis,Brachyponera.sennaarensis,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Camponotus,aegyptiacus,Camponotus.aegyptiacus,ground.surface,,,ground,2 times ground nest.,antweb
Camponotus,aeneopilosus,Camponotus.aeneopilosus,ground.surface,,,ground,"1 times on Eucalyptus trunk, 1 times In large tree branch of Eucalyptus viminalis, 30 pm times ground foragers, ca. 4, 1 times grd. Foragers","Gibb E., and D. F. Hochuli. 2004. Removal experiment reveals limited effects of a behaviorally dominant species on ant assemblages. Ecology 85:648–657."
Camponotus,atriceps,Camponotus.atriceps,arboreal,ground.surface,,arboreal & ground,"61 times ex sifted leaf litter, 35 times beating vegetation, 35 times at bait, 25 times Malaise trap, 9 times mercury vapor lamp, 7 times strays, 2 times ex carton nest, 1 times nest under bark of dead root, 1 times nest under bark, 4 times STR, 2 times nest in dead stem.",antweb
Camponotus,barbaricus,Camponotus.barbaricus,arboreal,ground.surface,,arboreal & ground,"5 times found in Pinus halepensis+pistacea lentiscus, 3 times found in Bushes, 1 times found in Bosque de pinos, 1 times found in Garden, 1 times found in garden in city, 1 times found in Lawn&Palm trees, 1 times found in Pinus halepensis, 1 times found in Pueblo.",antweb
Camponotus,bishamon,Camponotus.bishamon,arboreal,,,arboreal,Camponotus bishamon is an arboreal species commonly found in the Nansei Islands (Terayama 1999).,antwiki
Camponotus,brevis,Camponotus.brevis,arboreal,,,arboreal,"Workers are diurnal. Nests are almost always in small dead stems that are in low vegetation or even on the ground in open areas. The exception was one nest I observed in a live internode of a Cecropia sapling at a pasture edge. The habitat preference of C. brevis is revealed at La Selva Biological Station, where it has been collected once by manual search at ground level in a disturbed area, and once in a Malaise trap, yet has not occurred in 52 canopy fogging sample",antwiki
Camponotus,britteni,Camponotus.britteni,ground.surface,,,ground,nest in ground and under stones,"Donisthorpe, H. 1931b. Camponotus (Tanaemyrmex) britteni, sp. n. (Hymenoptera, Formicidae), a formicine ant new to science. Annals and Magazine of Natural History (10)8:129-131. "
Camponotus,bugnioni,Camponotus.bugnioni,arboreal,,,arboreal,,"Navarro, E.V. Vergara, H. Echavarria Sanchez, F.J. Serna Cardona. 2007. Hormigas (Hymenoptera: Formicidae) asociadas al arboretum de la Universidad Nacional de Colombia, sede Medellin. Boletín Sociedad Entomológica Aragonesa 40:497-505."
Camponotus,canescens,Camponotus.canescens,arboreal,,,arboreal,arboreal,"Philpott, S. M., Perfecto, I., & Vandermeer, J. (2006). Effects of management intensity and season on arboreal ant diversity and abundance in coffee agroecosystems. Biodiversity & Conservation, 15(1), 139-155."
Camponotus,chloroticus,Camponotus.chloroticus,arboreal,,,arboreal,"nest in coconut palm in Park - ~5, 1 times Davis-sifting birds-nest ferns + incidental collections; Solitary queen camponotus chloroticus alone in 1st birdsnest fern (same one as I got the small, dark pheidole from) C. chloroticus nest +males, 1 times Nesting in live mangrove, 1 times nest in tree trunk, 1 times near giant cycad - incidental collections, big yellow camponotus (cf. chloroticus?) from nest nr top of cycad, pheidole from nest under rock, 1 times incidental collections on veg. and leaf litter, near south end of island. Basalt rock, strand veg; lots of Cocos, 1 times Camponotus nest ~ waist height in dead branch of live tree, 1 times also around dbenjo' buildings out back., 1 times on first rise near road, still plenty of Anoplolepis; collected for ~1hr., 1 times nesting in dead branch,",antweb
Camponotus,chromaiodes,Camponotus.chromaiodes,ground.surface,,,ground,"nests in and under rotten wood, including logs and stumps, with the galleries often extending into the soil (often clay soil), as well as in standing dead trees, or in moist, rotten parts of buildings (Hansen and Klotz, 2005)",antweb
Camponotus,compressus,Camponotus.compressus,ground.surface,,,ground,The nests were located in soft and moist soil.,"Ekka, P. A., & Neelkamal, R. (2017). Satellite nest architecture and demography plant-visiting ant, Camponotus compressus (Fabricius). Entomon, 42(3), 239-244."
Camponotus,conspicuus zonatus,Camponotus.conspicuus zonatus,ground.surface,,,ground,,"Lattke J. E., M. Velez, and N. Aguirre. 2016. Survey of ants in dry forests of Southwestern Ecuador (Hymenoptera: Formicidae). Sociobiology  63(3): 909-918."
Camponotus,essigi,Camponotus.essigi,arboreal,,,arboreal,,"Snelling, R. R. 1988. Taxonomic notes on Nearctic species of Camponotus, subgenus Myrmentoma (Hymenoptera: Formicidae). Pp. 55-78 in: Trager, J. C. (ed.) Advances in myrmecology. Leiden: E. J. Brill, xxvii + 551 pp."
Camponotus,exiguoguttatus,Camponotus.exiguoguttatus,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Camponotus,fabricator,Camponotus.fabricator,ground.surface,,,ground,previously subspecies of C. sylvaticus and C. maculatus both of which are ground.surface,antweb
Camponotus,fallax,Camponotus.fallax,arboreal,,,arboreal,"Nests are built in dead trees, or dead twigs of living trees, but also in wooden parts of buildings (Marko et al., 2009). In Russia it was found in oak forests nesting in dead, dry branches and sometimes in wooden buildings (Zryanin & Zryanina, 2007).",antwiki
Camponotus,fastigatus,Camponotus.fastigatus,arboreal,,,arboreal,"De Oliveira et al. (2015) found two colonies of C. fastigatus opportunistically nesting in Cecropia pachystachya trees (southwest Bahia, Brazil).",antwiki
Camponotus,floridanus,Camponotus.floridanus,arboreal,ground.surface,,arboreal & ground,"Common in Florida nesting in old stumps and logs. It readily colonizes containers left outside, and could easily be transported to new areas. Related species or forms of the subgenus Myrmothrix (a group in serious taxonomic disarray) are among the ants that Donisthorpe (1915) reported arriving in England, usually in bunches of bananas, but also in orchids.",antwiki
Camponotus,hemichlaena,Camponotus.hemichlaena,arboreal,,,arboreal,"Normally nests in timber in cold boreal and subalpine regions. In northeastern US, the only trees are strongly dwarfed and not suitable for nesting, and herculeanus is forced to nest in the thin soil beneath rocks under extremely cold, arid and exposed conditions. ","YASUMATSU, K., & BROWN Jr, W. L. (1957). A second look at the fits of the Camponotus. Journal of the Faculty of Agriculture, Kyushu University, 11(0), 1."
Camponotus,herculeanus,Camponotus.herculeanus,ground.surface,,,ground,"Camponotus herculeanus is a very common species that has large colonies under rotten bark and in rotten logs and stumps, especially those of conifers and in dead wood of living poplars (Wheeler and Wheeler, 1963; Mackay and Mackay, 2002). It occasionally nests under stones in clay soil, especially incipient nests (Mackay and Mackay, 2002). It is a boreal species generally lives at altitudes above 1200-1300 m in Mongolia. It inhabits different kinds of forest (larch, birch and pine) arid mountain meadows. Nests are built in rotten wood, stumps and tree hollows, and under logs partly in soil. Males and winged queens are seen in July in nests, and some dealated queens were collected outside the nest in late June to July (Aibek & Yamane, 2009, as C. sachalinensis).",antwiki
Camponotus,hova,Camponotus.hova,ground.surface,,,ground,pitfall traps,"Collingwood, C. A., Pohl, H., Gusten, R., Wranik, W., & van Harten, A. (2004). The ants (Insecta: Hymenoptera: Formicidae) of the Socotra Archipelago. Fauna of Arabia, 20, 473-496."
Camponotus,irritans,Camponotus.irritans,ground.surface,,,ground,nest mounds in soil,"Sharma, I. K. (1981). Notes on the Carpenter ant Camponotus irritans (Smith). Journal of the Bombay Natural History Society."
Camponotus,irritans carinifer,Camponotus.irritans carinifer,ground.surface,,,ground,nest mounds in soil,"Sharma, I. K. (1981). Notes on the Carpenter ant Camponotus irritans (Smith). Journal of the Bombay Natural History Society."
Camponotus,itoi,Camponotus.itoi,arboreal,,,arboreal,This is an arboreal species. It nests in dead twigs on standing trees.,http://ant.miyakyo-u.ac.jp/E/Taxo/F80915.html
Camponotus,keihitoi,Camponotus.keihitoi,arboreal,,,arboreal,,https://www.youtube.com/watch?v=kycp70o_yh8&list=PLPiu0ZswYFnkk7O1XqR3AKfFpfQ5wjO_3&index=2&t=0s
Camponotus,maculatus,Camponotus.maculatus,ground.surface,,,ground,"31 times ex rotten log, 18 times under stone, 21 times ground forager(s), 4 times ex rot pocket above ground, 6 times under rotten log, 4 times ex dead branch above ground, 6 times ground nest, 3 times ex rotting tree stump, 4 times on low vegetation, 4 times Foraging ground, 1 times in the soil,under rock. A few hundred ants in the nest",antweb; Dejean A. 1988. Prey capture by Camponotus maculatus (Formicidae - Formicinae). Biology of Behaviour 13: 97-115.
Camponotus,mitis,Camponotus.mitis,ground.surface,,,ground,"Winkler sifting, 1 times m2 Winkler sifting.",antweb; pers. obs.
Camponotus,modoc,Camponotus.modoc,ground.surface,,,ground,"Nests in rotten logs and stumps, or rarely under stones. They may also nest in the wood of buildings, especially log cabins in forested areas.",antwiki
Camponotus,mus,Camponotus.mus,ground.surface,,,ground," 1 times under stone, 1 times On fallen mature Tabebuia impetiginosa, 1 times nest in stump, patch, sandy soil, 1 times nest in stump, open area with forest patch, sandy soil, 1 times nest in stump, 1 times ground forager, 1 times Debajo corteza de tronco caido.","antweb; Roces, F., & Núñez, J. (1995). Thermal sensitivity during brood care in workers of two Camponotus ant species: circadian variation and its ecological correlates. Journal of insect physiology, 41(8), 659-669."
Camponotus,navigator,Camponotus.navigator,ground.surface,,,ground,nests under the bark of fairly sound logs lying on the ground,"Wilson E. O., and R. W. Taylor. 1967. The ants of Polynesia (Hymenoptera: Formicidae). Pacific Insects Monograph 14: 1-109."
Camponotus,nawai,Camponotus.nawai,arboreal,,,arboreal,Camponotus nawai Ito is one of the most common arboreal ants in Japan …,"Satoh, T. (1989). Comparisons between two apparently distinct forms ofCamponotus nawai Ito (Hymenoptera: Formicidae). Insectes sociaux, 36(4), 277-292."
Camponotus,nearcticus,Camponotus.nearcticus,arboreal,,,arboreal,"This is an arboreal species, especially of oaks (Quercus arizonica in New Mexico), cottonwoods and even pines",antwiki
Camponotus,nigroaeneus,Camponotus.nigroaeneus,arboreal,,,arboreal,feeding on manna,"Steinbauer, M. J. (1996). A note on manna feeding by ants (Hymenoptera: Formicidae). Journal of Natural History, 30(8), 1185-1192."
Camponotus,novaeboracensis,Camponotus.novaeboracensis,ground.surface,,,ground,"Camponotus novaeboracensis nests in rotten wood, (Mackay and Mackay, 2002), in and under logs and stumps, in dead branches on the ground and under bark, boards, or even under stones (especially incipient nests) and cow dung (Wheeler and Wheeler, 1963; Hansen and Klotz 2005). New nests can be found in hollow twigs",antwiki
Camponotus,novaehollandiae,Camponotus.novaehollandiae,ground.surface,,,ground,"nests are in clay soil, never in sand",antwiki
Camponotus,novogranadensis,Camponotus.novogranadensis,arboreal,,,arboreal,"Nests are in dead wood or hollow stems, usually in disturbed areas (Vasconcelos 1999, Longino 2002; Sanabria-Blandon and Chacon de Ulloa 2009; Ribas et al. 2012). It also occurs in the canopy of primary forest",antwiki
Camponotus,nylanderi,Camponotus.nylanderi,arboreal,,,arboreal,common on orchard trees but not pitfall samples,"La Pergola, A., Alicata, A., & Longo, S. (2008). Survey of the ants (Hymenoptera Formicidae) in citrus orchards with different types of crop management in Sicily. IOBC/wprs Bulletin, 38, 233-237."
Camponotus,obscuripes,Camponotus.obscuripes,ground.surface,,,ground,"1 times ground foragers, 1 times ground forager(s).",antweb
Camponotus,pennsylvanicus,Camponotus.pennsylvanicus,arboreal,ground.surface,,arboreal & ground,"It nests in living and dead trees, rotten logs or stumps in forested areas. This is an important, destructive pest that attacks fences, poles and buildings. This is probably the most destructive carpenter ant in North America (Wheeler and Wheeler 1963), although Creighton (1950) argued that its destructive capacities were somewhat exaggerated and that they only tunnel in decayed wood. It often forages inside homes, making it an important house pest. Reproductives were found in nests from April to October. This species is found in the same logs and stumps as members of the genera Lasius, Formica (i. e. Formica podzolica), and Leptothorax. Workers tend aphids, with the smaller workers collecting honeydew and transferring it to larger workers that carry it back to the nest. In addition, foragers feed on dead insects and plant juices.It nests almost exclusively in wood. Camponotus pennsylvanicus nests in many different species of trees, as well as in telephone poles; one nest was 75 feet up in a tree. Single females form their nests in preformed or self-formed cavities, usually under bark of a log or stump, and each nest has a single queen. ",antwiki
Camponotus,perrisii nigeriensis,Camponotus.perrisii nigeriensis,ground.surface,,,ground,"no data for subspecies; species appears to be ground, recorded in ""Aneyo, I., Alafia, O., Doherty, F., Udoma, R., Balogun, B., & Adeola, A. (2020). Aerobic microbe community and necrophagous insects associated with decomposition of pig carrion poisoned with lead. Legal Medicine, 42, 101638.""","Aneyo, I., Alafia, O., Doherty, F., Udoma, R., Balogun, B., & Adeola, A. (2020). Aerobic microbe community and necrophagous insects associated with decomposition of pig carrion poisoned with lead. Legal Medicine, 42, 101638."
Camponotus,planatus,Camponotus.planatus,arboreal,,,arboreal,It forms rather small colonies and is exquisitely arboreal in its habits,antwiki
Camponotus,planatus continentis,Camponotus.planatus continentis,arboreal,,,arboreal,no data for subspecies; species habitat is exclusive arboreal,antwiki
Camponotus,rectangularis,Camponotus.rectangularis,arboreal,,,arboreal,"De Oliveira et al. (2015) found two colonies of C. rectangularis opportunistically nesting in Cecropia pachystachya trees (southwest Bahia, Brazil).",antwiki
Camponotus,sayi,Camponotus.sayi,arboreal,,,arboreal,"In the southwestern part of its range (New Mexico) this species occurs in arid ecosystems where it nests in mesquite (Prosopis spp.) and oaks (Quercus spp.), such as dead limbs (2 - 8 cm diameter) of Quercus arizonica, Q. emoryi and Q. grisea, about 2 meters above soil surface. Dealate females begin nests in such limbs.",antwiki
Camponotus,sericeiventris rex,Camponotus.sericeiventris rex,arboreal,,,arboreal,"1 times on matapalo tree, 1 times on hardwood tree.",antweb
Camponotus,sericeus,Camponotus.sericeus,arboreal,,,arboreal,"Workers of C. sericeus occur on Acacia trees and on the giant milkweed Calotropis procera (Aiton) W. T. Aiton (Apocynaceae). Several workers have been observed foraging on C. procera plants and attending aphids (Sharaf et al., 2013)",antwiki
Camponotus,sexguttatus,Camponotus.sexguttatus,arboreal,ground.surface,,arboreal & ground,"found this ant nesting in infructescences (the stem and remains of buds and fruits above the level of the water reservoir in the rosette) of the bromeliad Vriesea friburgensis on Santa Catarina Island, Brazil.","antwiki; Yanoviak, S. P., Berghoff, S. M., Linsenmair, K. E., & Zotz, G. (2011). Effects of an epiphytic orchid on arboreal ant community structure in Panama. Biotropica, 43(6), 731-737."
Camponotus,sexguttatus biguttatus,Camponotus.sexguttatus biguttatus,arboreal,,,arboreal,no data for this subspecies; species and other subspecies are arboreal,antweb
Camponotus,singularis,Camponotus.singularis,arboreal,,,arboreal,collected from canopy,"WIDODO, E. S., NAITO, T., MOHAMED, M., & HASHIMOTO, Y. (2004). Effects of selective logging on the arboreal ants of a Bornean rainforest. Entomological Science, 7(4), 341-349."
Camponotus,snellingi,Camponotus.snellingi,arboreal,,,arboreal,"The nest of Camponotus snellingi was found in a low-hanging, dead branch of the tree.","MacGown, J. A., & Brown, R. L. (2006). Observations on the high diversity of native ant species coexisting with imported fire ants at a microspatial scale in Mississippi. Southeastern Naturalist, 5(4), 573-586."
Camponotus,sylvaticus,Camponotus.sylvaticus,ground.surface,,,ground,,"Wetterer, J. K., Espadaler, X., Wetterer, A. L., AGUIN_POMBO, D. O. R. A., & FRANQUINHO_AGUIAR, A. M. (2006). Long_term impact of exotic ants on the native ants of Madeira. Ecological Entomology, 31(4), 358-368."
Camponotus,tergestinus,Camponotus.tergestinus,arboreal,,,arboreal,"It prefers warm habitats, probably nests in oak wood (Marko et al., 2009).",antwiki
Camponotus,thoracicus,Camponotus.thoracicus,ground.surface,,,ground,desert species,antweb
Camponotus,tortuganus,Camponotus.tortuganus,arboreal,,,arboreal,"NOTE: C. tortuganus synonymised under C. inaequalis in antcat after Deyrup 2017. Wetterer (2018) found it nesting in mangroves where he said ""Camponotus tortuganus (= Camponotus inaequalis)""","Wetterer, J. K. (2018). Native and exotic ants (Hymenoptera: Formicidae) nesting in red mangroves (Malpighiales: Rhizophora mangle) of eastern Florida. Transactions of the American Entomological Society, 144(2), 347-357."
Camponotus,ustus,Camponotus.ustus,arboreal,,,arboreal,1 times knot hole in trunk of tree.,antweb
Camponotus,vagus,Camponotus.vagus,arboreal,,,arboreal,Nests are built mostly in dead trees and wood stumps,antwiki
Camponotus,variegatus,Camponotus.variegatus,ground.surface,,,ground,Nests under rocks,pers. obs.
Camponotus,werthi,Camponotus.werthi,ground.surface,,,ground,,"Devenish, A.J.M., Newton, R.J., Bridle, J.R., Gomez, C., Midgley, J.J., Sumner, S. 2021. Contrasting responses of native ant communities to invasion by an ant invader, Linepithema humile. Biological Invasions 23, 2553–2571"
Cardiocondyla,batesii,Cardiocondyla.batesii,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Cardiocondyla,breviscapa,Cardiocondyla.breviscapa,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Cardiocondyla,britteni,Cardiocondyla.britteni,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Cardiocondyla,emeryi,Cardiocondyla.emeryi,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Cardiocondyla,fajumensis,Cardiocondyla.fajumensis,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Cardiocondyla,itsukii,Cardiocondyla.itsukii,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Cardiocondyla,kagutsuchi,Cardiocondyla.kagutsuchi,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Cardiocondyla,mauritanica,Cardiocondyla.mauritanica,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
