gen,sp,Species.name,strat1,strat2,strat3,strata_classified,description,source
Strumigenys,membranifera,Strumigenys.membranifera,litter.soil,,,litter.soil,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Strumigenys,minutula,Strumigenys.minutula,litter.soil,,,litter.soil,"Among 29 dacetine species known from Japan, Strumigenys minutula Terayama & Kubota, 1989, Strumigenys exilirhina Bolton, 2000, S. emmae and S. membranifera are found in open habitats..."" Kitahiro, S. H. U. N. G. O., Yamamoto, K., Touyama, Y., & Ito, F. U. M. I. N. O. R. I. (2014). Habitat preferences of Strumigenys ants in western Japan (Hymenoptera: Formicidae). Asian Myrmecology, 6, 91-94.",antwiki
Strumigenys,nepalensis,Strumigenys.nepalensis,litter.soil,,,litter.soil,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Strumigenys,nigrescens,Strumigenys.nigrescens,litter.soil,,,litter.soil,"85 times ex sifted leaf litter, 5 times Hojarasca, 5 times ex sifted litter, 3 times Entre trampa M/01 y M/02, 1 times under loose bark, 1 times Pyramica, nest in dead wood on ground",antweb
Strumigenys,perplexa,Strumigenys.perplexa,litter.soil,,,litter.soil,"8 times under rock, 3 times litter, 2 times sifted litter (leaf mold, rotten wood), 1 times under rock, nest along galleries of Amb. australis, 1 times under rock, in log, 1 times under granite rock, 1 times Leaf litter, 1 times in soil bank, 1 times in rotten log, 1 times in log, 0 times in black soil",antweb
Strumigenys,rogeri,Strumigenys.rogeri,litter.soil,,,litter.soil,nests in and under dead wood and preys on tiny soil arthropods,antwiki
Strumigenys,silvestrii,Strumigenys.silvestrii,litter.soil,,,litter.soil,"12 times litter, 3 times pine litter, 2 times ex sifted leaf litter, 2 times leaf litter, 2 times ex litter in hollow white oak tree, 1 times sifted litter (leaf mold, rotten wood), 1 times Sifted litter, 1 times leaf log litter",antweb
Strumigenys,simoni,Strumigenys.simoni,litter.soil,,,litter.soil,"6 times sifted litter, 6 times ex rotten log, 5 times sifted litter (leaf mold, rotten wood), 3 times under stone, 5 times leaf litter, 1 times ex rotten stick on ground, 4 times ex soil, 7 times litter, 1 times Sifting, 1 times on low vegetation, 1 times nest under log",antweb
Strumigenys,solifontis,Strumigenys.solifontis,litter.soil,,,litter.soil,NA,"Masuko, K. 1984. Studies on the predatory biology of oriental dacetine ants (Hymenoptera: Formicidae). I. Some Japanese species of Strumigenys, Pentastruma, and Epitritus, and a Malaysian Labidogenys, with special reference to hunting tactics in short-mandibulate forms. Insectes Sociaux. 31(4):429-451."
Strumigenys,xenos,Strumigenys.xenos,litter.soil,,,litter.soil,a workerless inquiline in nests of Strumigenys perplexa ,antwiki
