Country_global,Report_ava,Country_global_modified,Notes,Report_num,language,threat,IAS_list,Existing_mgmt,intro,research,outreach,reactive,proactive,Checked against shape 27th July 2015,Report checked April 2016
Ecuador,Ecuador,Ecuador,,5th,Spanish,1,1,1,0.5,0,0,3,0.5,yes,
Egypt,Egypt - english 2009,Egypt,,4th,Arabic,1,1,0.5,0,0,0,2.5,0,yes,
El Salvador,El Salvador,El Salvador,,4th,Spanish,1,1,0.5,0,1,1,2.5,2,yes,
Eq. Guinea,Eq. Guinea,Equatorial Guinea,,5th,Spanish,0,0,0,0,0,0,0,0,yes,
Eritrea,Eritrea,Eritrea,,4th,English,1,0.5,0.5,0.5,1,0,2,1.5,yes,yes
Estonia,Estonia,Estonia,,5th,English,1,1,0.5,0.5,0,1,2.5,1.5,yes,intro was 0
Ethiopia,Ethiopia,Ethiopia,,5th,English,1,0.5,0.5,0,0,0,2,0,yes,yes
Faeroe Islands,,Faroe Islands,,,,,,,,,,,,,
Falkland Is.,,Falkland Islands,,,,,,,,,,,,,
Fiji,Fiji,Fiji,,4th,English,1,0.5,0.5,0.5,1,0,2,1.5,yes,
Finland,Finland,Finland,,5th,English,1,1,0,0.5,1,1,2,2.5,inconsistencies corrected,yes
Fr. Polynesia,,French Polynesia,,,,,,,,,,,,,
Fr. S. and Antarctic Lands,,French Southern Territories,?,,,,,,,,,,,,
France,France,France,,4th,French,1,0.5,0.5,0.5,1,1,2,2.5,research added because of FAISIE,intro was 0
Gabon,,Gabon,,,,,,,,,,,,,
Gambia,Gambia,Gambia,,5th,English,0,0,0,0,0,0,0,0,yes,yes
Georgia,Georgia,Georgia,,4th,English,1,1,0.5,0.5,1,0,2.5,1.5,yes,yes
Germany,Germany,Germany,,5th,English,1,1,0.5,1,1,1,2.5,3,yes,yes
Ghana,Ghana,Ghana,,4th,English,1,0,0,0,1,0,1,1,yes,yes
Gibraltar,,Gibraltar,,,,,,,,,,,,,
Greece,,Greece,,,,,,,,,,,,,
Greenland,,Greenland,,,,,,,,,,,,,
Grenada,Grenada,Grenada,,4th,English,1,0,0,0.5,0,0,1,0.5,yes,
Guam,,Guam,,,,,,,,,,,,,
Guatemala,Guatemala,Guatemala,,4th,Spanish,1,1,0.5,0.5,1,0,2.5,1.5,yes,
Guernsey,,Guernsey,,,,,,,,,,,,,
Guinea,Guinea,Guinea,,4th,French,1,0,0,0,1,0,1,1,yes,
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,,4th,French,0,0,0,0,0,0,0,0,yes,
Guyana,Guyana,Guyana,,4th,English,1,0,0.5,0.5,1,1,1.5,2.5,yes,
Haiti,,Haiti,,,,,,,,,,,,,
Heard I. and McDonald Is.,,Heard Island and McDonald Island,,,,,,,,,,,,,
Honduras,Honduras,Honduras,,5th,Spanish,1,0.5,0,0,0,0,1.5,0,yes,
Hong Kong,,Hong Kong,,,,,,,,,,,,,
Hungary,Hungary,Hungary,,5th,English,1,1,0.5,0.5,1,1,2.5,2.5,yes,intro was 0
Iceland,,Iceland,,,,,,,,,,,,,
India,India,India,,5th,English,1,1,0.5,0,1,0,2.5,1,yes,yes
Indian Ocean Ter.,,Indian Ocean Ter.,,,,,,,,,,,,,
